Experiment_id,time_h,time_min,volume_l,air_flow_l_min,sampling_rate_l_min,acid_rate_l_min,base_rate_l_min,initial_biomass_g_l,initial_glucose_mol_l,initial_pH,initial_volume_l,glucose_mol_l,biomass_g_l,O2_l_mol,pH,OUR_mol_min,CER_mol_min,CO2_offgas_fraction,RQ
AMBR1_14,11.3333333333333,679.999999999998,0.201353064198984,0.0796536736563516,0.0,0.0,7.939143799019284e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.508973643051311,5.5098767618325674e-05,7.97407472905051,0.0003308300479072283,7.166282783547067e-05,0.0030741703636843797,0.216872121063907
AMBR1_14,11.4166666666667,685.000000000002,0.201388259259856,0.0789586972232198,0.0,0.0,8.152880884677304e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.595406943324715,5.5146662891905034e-05,7.97398900489184,0.00036458892177232833,7.308704192846215e-05,0.00314027869032224,0.200541304731248
AMBR1_14,11.5,690.0,0.20142480798485202,0.0781544081948934,0.0,0.0,8.400687952293425e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.617890822999163,5.51061219187337e-05,7.97360332049857,0.000388824522884715,7.473169275293783e-05,0.00321611858074883,0.192317976479297
AMBR1_14,11.5833333333333,694.999999999998,0.201462477105419,0.07758616207814739,0.0,0.0,8.619013346135525e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.6930800206258856,5.532183308984982e-05,7.97383691022006,0.0004202595087295367,7.640859954297017e-05,0.00329184748483926,0.181899089399266
AMBR1_14,11.6666666666667,700.000000000002,0.201501414530535,0.0767883123129703,0.0,0.0,8.889142637940724e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.716253870467438,5.5057350022033254e-05,7.97340583442397,0.0004664571480675217,7.791168004964951e-05,0.00336245725820998,0.167159544302208
AMBR1_14,11.75,705.0,0.20154134671552001,0.0760601083914206,0.0,0.0,9.07928644773975e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.7294258362312798,5.525799606480825e-05,7.97319801461587,0.0004967282901982467,7.976233211189818e-05,0.0034498953342765697,0.160696205148461
AMBR1_14,11.8333333333333,709.999999999998,0.20158250263551,0.0752514467740578,0.0,0.0,9.312759622507808e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.8116040184176114,5.508096020461214e-05,7.97254853613309,0.000544486534881825,8.139171310326484e-05,0.00352570284474883,0.149568251098691
AMBR1_14,11.9166666666667,715.000000000002,0.199029582818061,0.0745120089897008,0.001399999999998854,0.0,9.495665203738213e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,0.04411946191078842,2.844228770487399,5.4707894312076125e-05,7.972845868369,0.00059123144451298,8.379688940165383e-05,0.00354083683522039,0.141498955595756
AMBR1_14,12.0,720.0,0.19437192278709198,0.0750227818853639,0.0,0.0,9.348662186377828e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.8677257028370193,5.467838526970251e-05,7.97226664923822,0.0006222051464425567,8.7080675537171e-05,0.0036699944577163,0.138475177116428
AMBR1_14,12.0833333333333,724.999999999998,0.194414025174722,0.07474218227187031,0.0,0.0,9.482961085327863e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,2.9735289447545137,5.323319579404981e-05,7.9718668883885,0.0006410134533936867,9.145605020082216e-05,0.00383097712056163,0.142726373328762
