fold_index,seed,split,observable,n,nrmse,mae,r2
4,42,test,DO_percent,500,0.0194015208940875,1.8261289596557615,0.0
4,42,test,biomass_g_l,500,0.2994066716313541,2.831784725189209,0.0
4,42,test,glucose_g_l,17,0.1659586599519207,2.3764889567035423,0.3959988758330515
4,42,test,pH,500,0.1947050888325952,0.3522870242595672,0.0
4,42,train,DO_percent,9400,0.1123062502223835,9.252306938171388,0.619360089302063
4,42,train,biomass_g_l,9158,0.0521972862802126,0.4213744103908539,0.9382704496383668
4,42,train,glucose_g_l,358,0.0285281052564602,0.3501802973250505,0.9796065375402938
4,42,train,pH,9400,0.042655399644987,0.0598652027547359,0.9760436415672302
4,42,val,DO_percent,452,0.1141712164070616,10.706132888793944,0.53664231300354
4,42,val,biomass_g_l,416,0.0418432888224971,0.2923236489295959,0.9197728633880616
4,42,val,glucose_g_l,19,0.0240194629424537,0.292463780883806,0.9786941315082924
4,42,val,pH,452,0.0149887970842092,0.0215383507311344,0.7352742552757263
5,42,test,DO_percent,500,0.0254408210606592,2.8432180881500244,0.7662976980209351
5,42,test,biomass_g_l,500,0.0430040653330494,0.3608893156051636,0.9396698474884032
5,42,test,glucose_g_l,17,0.0253871577675365,0.36129634557385,0.9733027971010704
5,42,test,pH,500,0.0280696808111269,0.044448371976614,0.0
5,42,train,DO_percent,9351,0.0690730136668653,7.0105509757995605,0.8608672618865967
5,42,train,biomass_g_l,9073,0.0525616459579142,0.423903226852417,0.938173532485962
5,42,train,glucose_g_l,360,0.034071214878984,0.4185615779474151,0.9719467543191684
5,42,train,pH,9351,0.0602751726922334,0.0936117842793464,0.9502504467964172
5,42,val,DO_percent,501,0.0383119847600345,4.170428276062012,0.0
5,42,val,biomass_g_l,501,0.0445654217363674,0.3981965482234955,0.8993712663650513
5,42,val,glucose_g_l,17,0.0270070152947742,0.3897972591311152,0.9732772706759216
5,42,val,pH,501,0.0337654105474767,0.0426735244691371,0.0
6,42,test,DO_percent,499,0.0618056433239599,6.819401264190674,0.6245198249816895
6,42,test,biomass_g_l,499,0.0441005767948378,0.4024565517902374,0.9380361437797546
6,42,test,glucose_g_l,17,0.0147467422306204,0.2018347838112328,0.9911358018142928
6,42,test,pH,499,0.0240193645858263,0.0397732891142368,0.0
6,42,train,DO_percent,9352,0.0681337664481682,6.750509738922119,0.8638091683387756
6,42,train,biomass_g_l,9074,0.052963395471359,0.4372783601284027,0.9371879696846008
6,42,train,glucose_g_l,360,0.0344030288118408,0.4313550265069245,0.9713935383279504
6,42,train,pH,9352,0.0618099593248472,0.0990158841013908,0.947635531425476
6,42,val,DO_percent,501,0.0239181347473564,2.018694400787353,0.0
6,42,val,biomass_g_l,501,0.0387457085223657,0.3710609674453735,0.9239518642425536
6,42,val,glucose_g_l,17,0.0157390510266665,0.220777924855168,0.990924204142769
6,42,val,pH,501,0.0355111395087663,0.0575445033609867,0.0
7,42,test,DO_percent,499,0.0677729104663566,6.448910713195801,0.7939609289169312
7,42,test,biomass_g_l,499,0.0787382008746178,0.7483939528465271,0.8167741298675537
7,42,test,glucose_g_l,17,0.0225650761426684,0.2896594578702749,0.9784864640271584
7,42,test,pH,499,0.0201294248380706,0.028089078143239,0.6443157196044922
7,42,train,DO_percent,9352,0.0789079006690436,7.546116352081299,0.814034640789032
7,42,train,biomass_g_l,9074,0.0578429137304716,0.4710850715637207,0.9247811436653136
7,42,train,glucose_g_l,360,0.0334626237668527,0.4294956689446284,0.972823405833586
7,42,train,pH,9352,0.0450412066651081,0.052182663232088,0.9804577827453612
7,42,val,DO_percent,501,0.0062277866923044,0.6473275423049927,0.0
7,42,val,biomass_g_l,501,0.1128208054972838,0.937638819217682,0.5643784999847412
7,42,val,glucose_g_l,17,0.1049789448790336,1.593789944747851,0.6294021675977433
7,42,val,pH,501,0.053100061237813,0.0788313671946525,0.0
8,42,test,DO_percent,499,0.1599935809802105,15.56161880493164,0.3395063877105713
8,42,test,biomass_g_l,499,0.064209239492833,0.5436683893203735,0.8069099187850952
8,42,test,glucose_g_l,17,0.0099791538048626,0.1284699088642127,0.9953575268460796
8,42,test,pH,499,0.0354380205647616,0.0694074034690857,0.0
8,42,train,DO_percent,9404,0.1049822772723905,8.41533374786377,0.6457138061523438
8,42,train,biomass_g_l,9131,0.0526139185753648,0.4273260831832886,0.9388251900672911
8,42,train,glucose_g_l,359,0.0328210081376762,0.3998706206298821,0.9739785253911224
8,42,train,pH,9404,0.0605953139958472,0.0933657214045524,0.947147011756897
8,42,val,DO_percent,449,0.1496464181634192,13.879480361938477,0.3915887475013733
8,42,val,biomass_g_l,444,0.0571277445252071,0.5501924157142639,0.8623600602149963
8,42,val,glucose_g_l,18,0.0333481654625137,0.3644374873661672,0.9608899070227058
8,42,val,pH,449,0.0177979189246588,0.0248058978468179,0.3966637253761291
9,42,test,DO_percent,452,0.0309429628072738,2.60588812828064,0.0
9,42,test,biomass_g_l,451,0.1463346088434836,1.4046344757080078,0.4420779347419739
9,42,test,glucose_g_l,19,0.0479734974726424,0.5882200878383926,0.9236462225926038
9,42,test,pH,452,0.0342314632805952,0.0667022168636322,0.0
9,42,train,DO_percent,9401,0.0833550578151937,7.405639171600342,0.8251818418502808
9,42,train,biomass_g_l,9124,0.0538166085486491,0.4366095960140228,0.9346439242362976
9,42,train,glucose_g_l,358,0.033999188572991,0.418111666119952,0.9720302241320182
9,42,train,pH,9401,0.0536187134473486,0.0826313570141792,0.9585641026496888
9,42,val,DO_percent,499,0.090670151518552,9.598857879638672,0.8271458745002747
9,42,val,biomass_g_l,499,0.0631811649904783,0.5698619484901428,0.8130436539649963
9,42,val,glucose_g_l,17,0.0142101153729541,0.1804374253860147,0.9905863688735193
9,42,val,pH,499,0.0233729751526357,0.0441643968224525,0.0
10,42,test,DO_percent,452,0.0206386189548534,1.1400306224822998,0.0
10,42,test,biomass_g_l,429,0.0807181365424059,0.8077079653739929,0.6598848104476929
10,42,test,glucose_g_l,19,0.0765517670780441,0.7911033332918479,0.7952403449227798
10,42,test,pH,452,0.2210965811901611,0.4699824452400207,0.0
10,42,train,DO_percent,9452,0.1095587118774259,9.022544860839844,0.5904953479766846
10,42,train,biomass_g_l,9224,0.0511337059608877,0.4305623173713684,0.9415078163146972
10,42,train,glucose_g_l,356,0.0304080850695545,0.3489994916648888,0.9774405812093352
10,42,train,pH,9452,0.0509013353442522,0.0784720480442047,0.963943600654602
10,42,val,DO_percent,448,0.1828159606588318,20.91559410095215,0.4633609652519226
10,42,val,biomass_g_l,421,0.0696313796537538,0.6574193239212036,0.8723118305206299
10,42,val,glucose_g_l,19,0.042865373042054,0.5880077119240799,0.939968260044841
10,42,val,pH,448,0.1065739408410923,0.2198345810174942,0.0
11,42,test,DO_percent,452,0.0629244243325732,6.338475227355957,0.8592522144317627
11,42,test,biomass_g_l,416,0.0438213215137791,0.3732187151908874,0.91200852394104
11,42,test,glucose_g_l,19,0.032681757102898,0.4151799486834995,0.9605557727231196
11,42,test,pH,452,0.0111052002917638,0.0198549963533878,0.8030964136123657
11,42,train,DO_percent,9450,0.0682326451587181,6.3732099533081055,0.8563874959945679
11,42,train,biomass_g_l,9232,0.0549390478920933,0.4477975964546203,0.933225154876709
11,42,train,glucose_g_l,357,0.0332248693087048,0.4092324201448094,0.9735629434300954
11,42,train,pH,9450,0.0520503429822403,0.0764489918947219,0.9608417749404908
11,42,val,DO_percent,450,0.1540990301583457,16.83786964416504,0.0067400336265563
11,42,val,biomass_g_l,426,0.0849501514734563,0.8296704292297363,0.6572417616844177
11,42,val,glucose_g_l,18,0.0690614157408853,0.8639294462491214,0.5890060877606631
11,42,val,pH,450,0.0857856690559363,0.1780375093221664,0.0
12,42,test,DO_percent,451,0.1274362066925507,12.259318351745604,0.4240543842315674
12,42,test,biomass_g_l,418,0.1515726444411255,1.5158164501190186,0.0
12,42,test,glucose_g_l,19,0.0513453262465725,0.6191841510588075,0.9088391867577812
12,42,test,pH,451,0.0722817885569819,0.1523763835430145,0.0
12,42,train,DO_percent,9402,0.1102672363379381,8.694887161254883,0.6333733797073364
12,42,train,biomass_g_l,9157,0.0479950922410599,0.3932245075702667,0.9486976265907288
12,42,train,glucose_g_l,358,0.0326928092059149,0.3917156267445186,0.9741087382409832
12,42,train,pH,9402,0.050657234048228,0.0750559195876121,0.9634949564933776
12,42,val,DO_percent,499,0.077302312591055,7.397943019866943,0.4126246571540832
12,42,val,biomass_g_l,499,0.046454141299566,0.4293557703495025,0.9312459230422974
12,42,val,glucose_g_l,17,0.0107130096668952,0.1496147776589947,0.9953218916842824
12,42,val,pH,499,0.0146851109174801,0.0244435463100671,0.6130959391593933
13,42,test,DO_percent,451,0.0875889741322687,12.474818229675291,0.8076336979866028
13,42,test,biomass_g_l,422,0.122555747075771,1.1911602020263672,0.8166067004203796
