Experiment_id,observable,n,nrmse,mae,r2
AMBR1_17,glucose_g_l,13,0.016049376725674497,0.1490090229148924,0.9434231866006124
AMBR1_17,biomass_g_l,350,0.3435518949552693,1.9949039617412805,0.0
AMBR1_17,DO_percent,350,0.00879637904448563,0.9447017751229064,0.0
AMBR1_17,pH,350,0.394897279148725,0.6625453832982076,0.0
AMBR1_18,glucose_g_l,13,0.16502241556553768,2.1945194088562077,0.2214935920407558
AMBR1_18,biomass_g_l,350,0.38243626321671503,2.444120569367122,0.0
AMBR1_18,DO_percent,350,0.008492101611359573,0.7934186489600433,0.0
AMBR1_18,pH,350,0.5306540839171403,1.0074659750467845,0.0
AMBR1_21,glucose_g_l,13,0.037836904542312366,0.4010835294060691,0.5056202679613488
AMBR1_21,biomass_g_l,350,0.32618349973957456,1.6586571117196787,0.0
AMBR1_21,DO_percent,350,0.09319629127552517,14.080100126401474,0.0
AMBR1_21,pH,350,0.22650240029373955,0.419271913210398,0.0
AMBR1_22,glucose_g_l,13,0.05506920448282448,0.5976633988293425,0.13479882274070765
AMBR1_22,biomass_g_l,349,0.3211809587583432,1.677956086381819,0.0
AMBR1_22,DO_percent,349,0.18421015750713787,27.939207295432716,0.0
AMBR1_22,pH,349,0.22654532445132303,0.4191950609357651,0.0
AMBR1_23,glucose_g_l,13,0.053968798258776145,0.5659394070021526,0.008484796815726336
AMBR1_23,biomass_g_l,349,0.30449899165689703,1.5574577626381623,0.0
AMBR1_23,DO_percent,349,0.28037358481082253,43.27762520097682,0.0
AMBR1_23,pH,349,0.22360939820183742,0.4128958176915266,0.0
AMBR1_24,glucose_g_l,13,0.04777378822419019,0.47518920725885755,0.0
AMBR1_24,biomass_g_l,349,0.43591697972177496,2.51395167143583,0.0
AMBR1_24,DO_percent,349,0.3833840934268976,60.438819950308535,0.0
AMBR1_24,pH,349,0.23687401546980646,0.4334949636428917,0.0
AMBR2_5,glucose_g_l,13,0.0021712039058749827,0.028282574451004665,0.0
AMBR2_5,biomass_g_l,316,0.21368235427335686,1.220281197381024,0.0
AMBR2_5,DO_percent,316,0.0045052575573655785,0.1639353825002608,0.0
AMBR2_5,pH,316,0.5880090022170625,1.0848729219438662,0.0
