Benchmark,Observation fraction,Observable,R2 mean,R2 median,R2 std,MAE mean,MAE median,MAE std,NRMSE mean,NRMSE median,NRMSE std
Forecasting Scan,0.5,Biomass / OD,0.0,0.0,0.0,1.4212082581635406,1.1753920237350004,0.8027686892538118,0.15724328025033552,0.14057884312332014,0.08222144402926018
Forecasting Scan,0.5,Glucose,0.16131753943974328,0.0,0.3003602726926066,0.0690881354088852,0.01028306397416585,0.13474542962320782,0.0055321091422450884,0.0008948561567416,0.010304504094310413
Forecasting Scan,0.5,DO,0.0,0.0,0.0,27.848424240777558,19.51190193855124,25.14887479492717,0.16874632201329326,0.1209048045183243,0.1413729982008022
Forecasting Scan,0.5,pH,0.0,0.0,0.0,0.16508650152924984,0.13829256506472615,0.09266854469156303,0.08191751440588621,0.0701918210886107,0.04193663550894277
Forecasting Scan,0.6,Biomass / OD,0.024923929995141134,0.0,0.11690359404594587,1.2791956010903478,0.7629243768143454,1.0840949486792757,0.1329090043211704,0.07512500009072665,0.1162372677820151
Forecasting Scan,0.6,Glucose,0.0,0.0,0.0,0.04125648816433385,0.0106320115265779,0.07229527613231759,0.002892380682298437,0.0007224239846904,0.005398069488406836
Forecasting Scan,0.6,DO,0.0,0.0,0.0,21.230170368587824,19.9590127244166,14.542055569440196,0.13114898242788947,0.136840589111907,0.08715479254263177
Forecasting Scan,0.6,pH,0.0,0.0,0.0,0.23071689421083014,0.2327903768352193,0.10295205064251758,0.11610328488533161,0.11433944559028045,0.048209112340059986
Forecasting Scan,0.7,Biomass / OD,0.02442398519104445,0.0,0.07961512351015797,0.6824037902563397,0.4896695957824785,0.590209735907955,0.0709668800001449,0.047671016341505904,0.06402786580926753
Forecasting Scan,0.7,Glucose,0.0,0.0,0.0,0.014712261681998007,0.007728329318572699,0.01948786661415678,0.0010579619960254187,0.00050548474019705,0.0017309621595536034
Forecasting Scan,0.7,DO,0.0,0.0,0.0,16.815784293547708,17.357322254019685,13.77202828859971,0.10082439352066562,0.1063312424130882,0.0800552823026114
Forecasting Scan,0.7,pH,0.0,0.0,0.0,0.12741910449418958,0.08978182258065559,0.10781278639820667,0.06158509749913261,0.04341054353523385,0.05021648572973657
Forecasting Scan,0.8,Biomass / OD,0.013362188383554434,0.0,0.06267421897995326,0.3886731186881915,0.24705323731342385,0.3332311718944371,0.038270635577488506,0.024665078396945102,0.03145054671808021
Forecasting Scan,0.8,Glucose,0.009559730740399957,0.0,0.02529267013983766,0.005838626505949764,0.0017350409209420498,0.010859102293723418,0.0002984108326300179,0.00010357992453243061,0.0005337269651222379
Forecasting Scan,0.8,DO,0.0,0.0,0.0,7.31861530055259,4.730232691949135,5.923119513489448,0.04272783889031321,0.02873506959524065,0.03343803218061052
Forecasting Scan,0.8,pH,0.0,0.0,0.0,0.10388679221292842,0.06380751605435865,0.1026978860655511,0.04966276775183856,0.0316395781192636,0.0478091736288726
